Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
C Minor flat 13,Cm(b13),C,m(b13),,,A E,,,,,
C Minor sharp 11,Cm(#11),C,m(#11),,,A E,,,,,
C Minor Major 7th,Cm(maj7),C,m(maj7),x 3 1 0 0 x,X 3 1 0 0 x,A E F D,,,,,
C Dominant 7/9,"C9, C7/9",C,"9, 7/9",,,Bb E Eb F,,,,,
C Dominant 7sus2,C7sus2,C,7sus2,x 3 0 3 3 3,x 1 0 2 3 4,A D,,,,,
C Dominant 7sus4,C7sus4,C,7sus4,,,A E D B,,,,,
C Dominant 11th,C11,C,11,,,B A,,,,,
C Dominant 7/13,C13,C,13,,,A E,,,,,
C Dominant 7/9b,C7b9,C,7b9,,,Bb E Eb,,,,,
,,,,x 3 2 3 2 0,x 3 1 4 2 0,,,,,,
C Dominant 7/11#,C(#11),C,#11,,,E A,,,,,
C Dominant 7/b5,C7b5,C,7b5,,,A E F D,,,,,
C Augmented 7,Caug7,C,aug7,,,A E D,,,,,
C add6 add9,C6/9,C,6/9,,,Bb Eb F G,,,,,
C Minor add6 add9,Cm6/9,C,m6/9,,,B E,,,,,
C Major 7 13/9,Cmaj13/9,C,maj13/9,,,A E F,,,,,
C Dominant 7 13/9,C13/9,C,13/9,,,A E G Bb,,,,,
C Dominant 7 13/b9,C13/b9,C,13/b9,,,E G,,,,,
C Dominant 7#9,C7#9,C,7#9,,,Bb Eb,,,,,
,,,,,,,,,,,
C# Major,C#,C#,M,,,A E C D,,,,,
,,D,,x x 0 1 2 1,x x 0 1 3 2,Ab,,,,,
,,D#,,,,G E C D,,,,,
,,E,,,,G,,,,,
,,,,0 4 6 6 6 4,0 1 2 3 4 1,,,,,,
,,F,,,,G C F,,,,,
,,F#,,,,G C A E,,,,,
,,G,,,,A E,,,,,
,,G#,,,,A E G,,,,,
,,A,,,,Ab E,,,,,
,,,,x 0 6 6 6 4,x 0 2 3 4 1,,,,,,
,,A#,,,,C,,,,,
,,B,,,,G E C,,,,,
,,C,,,,G E F Bb C,,,,,
C# Minor,C#m,C#,m,,,A E G D,,,,,
,,D,,x x 0 1 2 0,x x 0 1 2 0,Ab E,,,,,
,,D#,,x x 1 1 2 0,x x 1 2 3 0,Ab E D,,,,,
,,E,,x x 2 1 2 0,x x 2 1 3 0,Ab E F#,,,,,
,,,,0 x 2 1 2 0,0 x 2 1 3 0,,,,,,
,,F,,x x 3 1 2 0,x x 3 1 2 0,F,,,,,
,,F#,,2 x 2 1 2 x,2 x 3 1 4 x,A E,,,,,
,,G,,3 x 2 1 2 0,4 x 2 1 3 0,E A C,,,,,
,,G#,,,,A E D,,,,,
,,A,,x 0 2 1 2 0,x 0 2 1 3 0,Ab F E,,,,,
,,A#,,x 1 x 1 2 0,x 1 x 2 3 0,C Ab F,,,,,
,,B,,x 2 x 1 2 0,x 2 x 1 3 0,Ab E F# C,,,,,
,,C,,x 3 2 1 2 0,x 4 2 1 3 0,C E F,,,,,
C# Diminished,C#dim,C#,dim,,,Bb D F A ,,,,,
C# Diminished 7,C#dim7,C#,dim,x 4 5 3 5 0,x 2 3 1 4 0,,,,,,
C# Augmented,C#aug,C#,aug,,,B A E G ,,,,,
C# Maj7,C#maj7,C#,maj7,,,A E F C D G,,,,,
,,D,,,,Ab E,,,,,
,,D#,,,,G D E Ab,,,,,
,,E,,0 4 6 5 6 4,x 1 3 2 4 1,G,,,,,
,,F,,,,C B G F,,,,,
,,F#,,,,E,,,,,
,,G,,,,E,,,,,
,,G#,,,,C A G E D,,,,,
,,A,,x 0 6 6 6 8,x 0 1 1 1 3,D,,,,,
,,A#,,,,G Ab,,,,,
,,B,,,,C G,,,,,
,,C,,,,E F G,,,,,
C# Dominant 7th,C#7,C#,7,,,A E B D G,,,,,
,,D,,,,Ab E,,,,,
,,D#,,,,G E D,,,,,
,,E,,,,G E,,,,,
,,F,,,,B G D,,,,,
,,F#,,,,B E,,,,,
,,G,,,,E,,,,,
,,G#,,,,B A G E D,,,,,
,,A,,,,Ab E,,,,,
,,A#,,,,A G,,,,,
,,B,,,,B G E,,,,,
,,C,,,,G,,,,,
C# Minor 7th,C#m7,C#,m7,,,A E B D ,,,,,
C# Minor 7th,C#m7,C#,m7,,,A E B D ,,,,,
,,,,x 4 2 1 0 0,x 4 2 1 0 0,,,,,,
